哀而不傷	ai[wk er[ek bu[eu uh[rr
子問公叔文子於公明賈曰	zi[lh wf[mk gs[bs uu[uy wf[wi zi[lh yu[eu gs[bs mk[oo jx[xb yt[wh
子問之	zi[lh wf[mk vi[dv
子聞之	zi[lh wf[me vi[dv
子聞之曰	zi[lh wf[me vi[dv yt[wh
子奚不為政	zi[lh xi[ay bu[eu ww[dl vg[hw
子夏為莒父宰	zi[lh xx[ew ww[dl ju[ck fu[bi zd[gl
子夏問孝	zi[lh xx[ew wf[mk xn[tz
子夏問曰	zi[lh xx[ew wf[mk yt[wh
子夏聞之	zi[lh xx[ew wf[me vi[dv
子夏曰	zi[lh xx[ew yt[wh
子夏云何	zi[lh xx[ew yy[es he[rk
子夏之門人問交於子張	zi[lh xx[ew vi[dv mf[du rf[pd wf[mk jn[li yu[eu zi[lh vh[gi
子夏之門人小子	zi[lh xx[ew vi[dv mf[du rf[pd xn[ub zi[lh
子行三軍	zi[lh xk[rh sj[hh jy[gi
自行束脩以上	zi[pm xk[rh uu[hk xq[ru yi[sr uh[bh
子言衛靈公之無道也	zi[lh yj[we ww[eh lk[xh gs[bs vi[dv wu[ee dc[bz ye[vu
子也	zi[lh ye[vu
緇衣	zi[sv yi[wy
子以四教	zi[lh yi[sr si[we jn[tw
子亦有異聞乎	zi[lh yi[wy yz[uo yi[kc wf[me hu[pb
子游對曰	zi[lh yz[df dv[yc yt[wh
子游為武城宰	zi[lh yz[df ww[dl wu[hv ig[tw zd[gl
子游問孝	zi[lh yz[df wf[mk xn[tz
子游曰	zi[lh yz[df yt[wh
自牖執其手	zi[pm yz[ph vi[fj qi[cb uz[su
子游子夏	zi[lh yz[df zi[lh xx[ew
子欲居九夷	zi[lh yu[bd ju[ug jq[pv yi[hg
子語魯大師樂	zi[lh yu[yw lu[yo da[hr ui[uh le[px
子與人歌而善	zi[lh yu[hv rf[pd ge[kd er[ek uj[yk
子欲善而民善矣	zi[lh yu[bd uj[yk er[ek mb[kv uj[yk yi[su
子於是日哭	zi[lh yu[eu ui[op ri[wh ku[kq
子欲往	zi[lh yu[bd wh[rd
子曰	zi[lh yt[wh
子云	zi[lh yy[es
子在	zi[lh zd[ut
子在川上曰	zi[lh zd[ut ir[pu uh[bh yt[wh
子在齊	zi[lh zd[ut qi[wp
子張第十九	zi[lh vh[gi di[vg ui[hu jq[pv
子張對曰	zi[lh vh[gi dv[yc yt[wh
子張書諸紳	zi[lh vh[gi uu[vv vu[yt uf[so
子張問	zi[lh vh[gi wf[mk
子張問崇德辨惑	zi[lh vh[gi wf[mk is[ug de[ru bm[ld ho[gx
子張問明	zi[lh vh[gi wf[mk mk[oo
子張問仁於孔子	zi[lh vh[gi wf[mk rf[re yu[eu ks[zv zi[lh
子張問善人之道	zi[lh vh[gi wf[mk uj[yk rf[pd vi[dv dc[bz
子張問行	zi[lh vh[gi wf[mk xk[rh
子張問於孔子曰	zi[lh vh[gi wf[mk yu[eu ks[zv zi[lh yt[wh
子張問曰	zi[lh vh[gi wf[mk yt[wh
子張問政	zi[lh vh[gi wf[mk vg[hw
子張學幹祿	zi[lh vh[gi xt[xz gj[hu lu[ux
子張曰	zi[lh vh[gi yt[wh
子之居喪	zi[lh vi[dv ju[ug sh[ty
子之所慎	zi[lh vi[dv so[pj uf[xu
子之往也	zi[lh vi[dv wh[rd ye[vu
子之武城	zi[lh vi[dv wu[hv ig[tw
子之燕居	zi[lh vi[dv yj[nk ju[ug
子之迂也	zi[lh vi[dv yu[ez ye[vu
自諸侯出	zi[pm vu[yt hz[rv iu[ck
宗廟會同	zs[ge mn[gy hv[re ts[kh
宗廟之事	zs[ge mn[gy vi[dv ui[hk
宗也	zs[ge ye[vu
宗族稱孝焉	zs[ge zu[fr ig[hd xn[tz yj[hh
足兵	zu[kv bk[qb
俎豆之事	zu[rq dz[hk vi[dv ui[hk
足躩	zu[kv jt[[
足躩如也	zu[kv jt[[ ru[nk ye[vu
足食	zu[kv ui[rl
足蹜如有循	zu[kv su[[ ru[nk yz[uo xy[rp
足則吾能徵之矣	zu[kv ze[bd wu[wk ng[sb vg[rh vi[dv yi[su
鑽燧改火	zr[jb sv[hb gd[kw ho[dp
鑽之彌堅	zr[jb vi[dv mi[gd jm[ut
罪在朕躬	zv[sf zd[ut vf[ob gs[ug
尊其瞻視	zy[bc qi[cb vj[md ui[uj
尊五美	zy[bc wu[hu mw[bw
左右手	zo[ug yz[uk uz[su
作者七人矣	zo[rv ve[to qi[hv rf[pd yi[su
