阿苯噠唑	aa[ek bf[ca da[kd zo[kr
偏釩酸銀	pm[rh fj[jj sr[ys yb[jg
偏硅酸	pm[rh gv[et sr[ys
偏硅酸鈣	pm[rh gv[et sr[ys gd[jx
偏硅酸鋰	pm[rh gv[et sr[ys li[jo
偏硅酸鋰鋁	pm[rh gv[et sr[ys li[jo lv[jk
偏硅酸鈉	pm[rh gv[et sr[ys na[jk
偏硅酸鉛	pm[rh gv[et sr[ys qm[jj
偏回歸係數	pm[rh hv[wk gv[ux xi[py uu[mw
片晶	pm[pu jk[oo
偏酒石酸	pm[rh jq[dy ui[ek sr[ys
偏磷酸	pm[rh lb[em sr[ys
偏磷酸銨	pm[rh lb[em sr[ys an[jg
偏磷酸鋇	pm[rh lb[em sr[ys bw[jb
偏磷酸鈣	pm[rh lb[em sr[ys gd[jx
偏磷酸鉀	pm[rh lb[em sr[ys jx[jo
偏磷酸鋁	pm[rh lb[em sr[ys lv[jk
偏磷酸鎂	pm[rh lb[em sr[ys mw[jb
偏磷酸鈉	pm[rh lb[em sr[ys na[jk
偏磷酸鹽	pm[rh lb[em sr[ys yj[tm
偏鋁酸	pm[rh lv[jk sr[ys
偏鋁酸鈉	pm[rh lv[jk sr[ys na[jk
偏摩爾量	pm[rh mo[gf er[dx ll[oh
偏硼酸	pm[rh pg[eo sr[ys
偏硼酸鋇	pm[rh pg[eo sr[ys bw[jb
偏硼酸鈣	pm[rh pg[eo sr[ys gd[jx
偏硼酸鉀	pm[rh pg[eo sr[ys jx[jo
偏硼酸鋰	pm[rh pg[eo sr[ys li[jo
偏硼酸鈉	pm[rh pg[eo sr[ys na[jk
偏砷酸	pm[rh uf[eo sr[ys
偏砷酸鈉	pm[rh uf[eo sr[ys na[jk
偏鈦酸	pm[rh td[jd sr[ys
偏亞磷酸	pm[rh ya[hy lb[em sr[ys
偏亞砷酸	pm[rh ya[hy uf[eo sr[ys
偏亞砷酸鈉	pm[rh ya[hy uf[eo sr[ys na[jk
偏亞酸	pm[rh ya[hy sr[ys
偏重高碘酸鈉	pm[rh vs[ph gc[wk dm[ed sr[ys na[jk
偏重亞硫酸銨	pm[rh vs[ph ya[hy lq[ew sr[ys an[jg
偏重亞硫酸鉀	pm[rh vs[ph ya[hy lq[ew sr[ys jx[jo
偏重亞硫酸鈉	pm[rh vs[ph ya[hy lq[ew sr[ys na[jk
漂白土粉	pn[dx bd[po tu[uh ff[mf
嘌呤呋喃核苷	pn[kx lk[kr fu[ke nj[ku he[aw gj[cg
漂染類	pn[dx rj[da lw[md
品氨基物	pb[kk an[qg ji[qt wu[nb
品吡唑酮	pb[kk bi[kb zo[kr ts[yk
品丁醚	pb[kk dk[hu mi[ym
品紅溶液	pb[kk hs[sg rs[dx ye[dw
品硫酚	pb[kk lq[ew ff[yf
頻哪金醇	pb[vy na[kv jb[rw iy[yw
頻哪酮肟	pb[vy na[kv ts[yk wo[oh
頻哪隱綠	pb[vy na[kv yb[ed lv[sx
貧燃火焰	pb[fb rj[hx ho[dp yj[hd
品酰胺酮	pb[kk xm[yn an[og ts[yk
品硝基物	pb[kk xn[ex ji[qt wu[nb
貧液	pb[fb ye[dw
貧液泵	pb[fb ye[dw bg[eu
貧液再生度	pb[fb ye[dw zd[hk ug[pf du[gn
平版計數瓊脂	pk[hb bj[pp ji[yu uu[mw qs[ww vi[ob
屏蔽泵	pk[ub bi[cb bg[eu
平底燒瓶	pk[hb di[gu uc[hq pk[bw
蘋果酸	pk[cp go[oa sr[ys
蘋果酸鈣	pk[cp go[oa sr[ys gd[jx
蘋果酸鈉	pk[cp go[oa sr[ys na[jk
蘋果酸氫鈉	pk[cp go[oa sr[ys qk[qs na[jk
蘋果香精	pk[cp go[oa xl[ho jk[mf
蘋果酯	pk[cp go[oa vi[yb
平衡聚合	pk[hb hg[rd ju[ep he[rh
平衡移動原理	pk[hb hg[rd yi[hx ds[el yr[ib li[wo
平均相對偏差	pk[hb jy[tb xl[am dv[yc pm[rh ia[yg
平均值控制圖	pk[hb jy[tb vi[ru ks[fx vi[nd tu[ww
平面三角型	pk[hb mm[ew sj[hh jn[do xk[kt
平行測定	pk[hb xk[rh ce[db dk[gp
平移因子	pk[hb yi[hx yb[wd zi[lh
珀科爾培養基	po[wb ke[hd er[dx pw[tl yh[yp ji[qt
珀庫爾	po[wb ku[gi er[dx
潑利沙伯	po[dv li[hd ua[dx bo[rb
潑買費司	po[dv md[vd fw[fb si[vh
破泡劑	po[ep pc[db ji[wd
脯氨醇	pu[of an[qg iy[yw
葡庚糖	pu[cb gg[gx th[mg
葡庚糖酸鈣鹽	pu[cb gg[gx th[mg sr[ys gd[jx yj[tm
葡甲胺	pu[cb jx[ou an[og
葡聚粉	pu[cb ju[ep ff[mf
葡聚糖	pu[cb ju[ep th[mg
葡聚糖酶	pu[cb ju[ep th[mg mw[yr
葡聚糖凝膠	pu[cb ju[ep th[mg nk[db jn[ol
葡聚糖凝膠柱	pu[cb ju[ep th[mg nk[db jn[ol vu[ad
普里米酮	pu[bo li[ot mi[ba ts[yk
普魯士藍	pu[bo lu[yo ui[uh lj[cu
普瑞巴林	pu[bo rv[wu ba[ku lb[aa
葡糖胺	pu[cb th[mg an[og
葡糖苯腙	pu[cb th[mg bf[ca zs[og
葡糖苷酶	pu[cb th[mg gj[cg mw[yr
葡糖磷酸鋇鹽	pu[cb th[mg lb[em sr[ys bw[jb yj[tm
葡糖磷酸鈉鹽	pu[cb th[mg lb[em sr[ys na[jk yj[tm
葡糖醛酸	pu[cb th[mg qr[yc sr[ys
葡糖醛酸鈉	pu[cb th[mg qr[yc sr[ys na[jk
葡糖醛酸內酯	pu[cb th[mg qr[yc sr[ys nw[kr vi[yb
葡糖試紙	pu[cb th[mg ui[yq vi[su
葡糖酸鈣	pu[cb th[mg sr[ys gd[jx
葡糖酸鉀鹽	pu[cb th[mg sr[ys jx[jo yj[tm
葡糖酸鈉	pu[cb th[mg sr[ys na[jk
葡糖酸內酯	pu[cb th[mg sr[ys nw[kr vi[yb
葡糖脫氫酶	pu[cb th[mg to[ob qk[qs mw[yr
葡萄糠	pu[cb tc[cb kh[mg
葡萄醛酸內酯	pu[cb tc[cb qr[yc sr[ys nw[kr vi[yb
葡萄糖	pu[cb tc[cb th[mg
葡萄糖口服	pu[cb tc[cb th[mg kz[uv fu[oe
葡萄糖酸鈉	pu[cb tc[cb th[mg sr[ys na[jk
葡萄糖酸內酯	pu[cb tc[cb th[mg sr[ys nw[kr vi[yb
葡萄糖酸亞鐵	pu[cb tc[cb th[mg sr[ys ya[hy tp[jp
葡萄糖氧化酶	pu[cb tc[cb th[mg yh[qy hx[rq mw[yr
葡萄香精	pu[cb tc[cb xl[ho jk[mf
葡萄子油	pu[cb tc[cb zi[lh yz[dy
譜線黑度	pu[yb xm[sj hw[sd du[gn
譜線增寬	pu[yb xm[sj zg[tb kr[gc
葡辛胺	pu[cb xb[lu an[og
汽巴龍藍	qi[dq ba[ku ls[yp lj[cu
汽包液位	qi[dq bc[bk ye[dw ww[rl
氣閉閥	qi[rh bi[mc fa[mr
氣動閥	qi[rh ds[el fa[mr
七氟丙烷	qi[hv fu[qf bk[hk wj[hg
七氟丁酸	qi[hv fu[qf dk[hu sr[ys
七氟丁酸酐	qi[hv fu[qf dk[hu sr[ys gj[yg
七氟烷	qi[hv fu[qf wj[hg
氣固色譜法	qi[rh gu[wg se[db pu[yb fa[dt
氣關閥	qi[rh gr[bt fa[mr
氣化廠	qi[rh hx[rq ih[hp
氣化劑	qi[rh hx[rq ji[wd
氣化爐	qi[rh hx[rq lu[hh
氣化室	qi[rh hx[rq ui[gh
歧化松雪	qi[vu hx[rq ss[ab xt[yx
歧化終止	qi[vu hx[rq vs[sw vi[uh
七甲基壬烷	qi[hv jx[ou ji[qt rf[qh wj[hg
氣開閥	qi[rh kd[hc fa[mr
齊拉卻爾曼斯效應	qi[wp la[fl qt[te er[dx mj[os si[qj xn[lw yk[gx
齊留通	qi[wp lq[pt ts[sz
汽輪機油	qi[dq ly[ir ji[aj yz[dy
氣密性	qi[rh mi[gu xk[xp
棋盤花鹼	qi[aq pj[vm hx[cr jm[ew
齊潑克斯	qi[wp po[dv ke[ge si[qj
啟普發生器	qi[hk pu[bo fa[vy ug[pf qi[kq
起球現象	qi[zk qq[wh xm[wj xl[dk
氣溶膠	qi[rh rs[dx jn[ol
氣態氫化物	qi[rh td[dx qk[qs hx[rq wu[nb
氣體發生器	qi[rh ti[ra fa[vy ug[pf qi[kq
氣體摩爾體積	qi[rh ti[ra mo[gf er[dx ti[ra ji[hk
氣提塔	qi[rh ti[fo ta[tc
氣體洗瓶	qi[rh ti[ra xi[dn pk[bw
氣相色譜質譜聯用儀	qi[rh xl[am se[db pu[yb vi[pu pu[yb lm[eb ys[ou yi[rd
七氧化二錸	qi[hv yh[qy hx[rq er[hh ld[jl
七氧化四鋱	qi[hv yh[qy hx[rq si[we te[jq
七葉素	qi[hv ye[ku su[fy
七葉皁苷鈉	qi[hv ye[ku zc[bq gj[cg na[jk
奇異原子化學	qi[dk yi[kc yr[ib zi[lh hx[rq xt[xz
汽油清淨劑	qi[dq yz[dy qk[df jk[dd ji[wd
汽蒸失活	qi[dq vg[cl ui[pe ho[dq
鉛棒	qm[jj bh[as
鉛標準溶液	qm[jj bn[ae vy[dv rs[dx ye[dw
鉛箔	qm[jj bo[vd
嵌段共聚合	qm[ug dr[pj gs[gb ju[ep he[rh
嵌段共聚物	qm[ug dr[pj gs[gb ju[ep wu[nb
嵌段聚合	qm[ug dr[pj ju[ep he[rh
淺鉻黃	qm[dj ge[jw hl[gy
鉛合金	qm[jj he[rh jb[rw
前後截止閥	qm[bo hz[pk jp[tv vi[uh fa[mr
前黃素	qm[bo hl[gy su[fy
前截閥	qm[bo jp[tv fa[mr
前進接觸角	qm[bo jb[ez jp[fl iu[di jn[do
前列腺素鈉鹽	qm[bo lp[hd xm[ob su[fy na[jk yj[tm
前末端基效應	qm[bo mo[ha dr[lu ji[qt xn[lw yk[gx
鉛石灰	qm[jj ui[ek hv[uh
茜素	qm[cx su[fy
茜素紅	qm[cx su[fy hs[sg
茜素黃鈉鹽	qm[cx su[fy hl[gy na[jk yj[tm
茜素菁	qm[cx su[fy jk[cf
茜素菁綠	qm[cx su[fy jk[cf lv[sx
茜素藍	qm[cx su[fy lj[cu
茜素綠	qm[cx su[fy lv[sx
茜素青	qm[cx su[fy qk[fo
茜素紫	qm[cx su[fy zi[vy
鉛銻合金	qm[jj ti[jb he[rh jb[rw
鉛硒合金	qm[jj xi[ex he[rh jb[rw
鉛蓄電池	qm[jj xu[cw dm[ov ii[dy
潛血試紙	qm[de xt[pm ui[yq vi[su
前沿軌道	qm[bo yj[dj gv[ij dc[bz
遷移傾向	qm[qz yi[hx qk[rb xl[pk
遷移取樣法	qm[qz yi[hx qu[ey yh[ay fa[dt
前置柱	qm[bo vi[su vu[ad
鉛磚	qm[jj vr[ee
羥氨苄青黴素	ql[ys an[qg bm[cd qk[fo mw[yr su[fy
羥胺磺酸	ql[ys an[og hl[eg sr[ys
羥苯基甘氨酸	ql[ys bf[ca ji[qt gj[nh an[qg sr[ys
羥丙基腺嘌呤	ql[ys bk[hk ji[qt xm[ob pn[kx lk[kr
強電解質	ql[gk dm[ov jp[dd vi[pu
羥丁橡膠	ql[ys dk[hu xl[ad jn[ol
羥汞化	ql[ys gs[gu hx[rq
羥化物	ql[ys hx[rq wu[nb
強化戊二醛	ql[gk hx[rq wu[iv er[hh qr[yc
羥基吖啶	ql[ys ji[qt aa[kb dk[kg
羥基氨基聯苯	ql[ys ji[qt an[qg ji[qt lm[eb bf[ca
羥基苯並噻唑	ql[ys ji[qt bf[ca bk[bk sd[kg zo[kr
羥基苯丙酮	ql[ys ji[qt bf[ca bk[hk ts[yk
羥基苯丙酮酸	ql[ys ji[qt bf[ca bk[hk ts[yk sr[ys
羥基苯基丙酮	ql[ys ji[qt bf[ca ji[qt bk[hk ts[yk
羥基苯甲腈	ql[ys ji[qt bf[ca jx[ou jk[of
羥基苯甲醛	ql[ys ji[qt bf[ca jx[ou qr[yc
羥基苯甲酸	ql[ys ji[qt bf[ca jx[ou sr[ys
羥基苯甲酸鈉	ql[ys ji[qt bf[ca jx[ou sr[ys na[jk
羥基苯硫酚	ql[ys ji[qt bf[ca lq[ew ff[yf
羥基苯硼酸	ql[ys ji[qt bf[ca pg[eo sr[ys
羥基苯乙胺	ql[ys ji[qt bf[ca yi[vv an[og
羥基苯乙酮	ql[ys ji[qt bf[ca yi[vv ts[yk
羥基吡啶	ql[ys ji[qt bi[kb dk[kg
羥基吡啶甲酸	ql[ys ji[qt bi[kb dk[kg jx[ou sr[ys
羥基吡啶羧酸	ql[ys ji[qt bi[kb dk[kg so[ys sr[ys
羥基吡咯烷	ql[ys ji[qt bi[kb lo[kw wj[hg
羥基丙二酸	ql[ys ji[qt bk[hk er[hh sr[ys
羥基丙磺酸鈉	ql[ys ji[qt bk[hk hl[eg sr[ys na[jk
羥基丙腈	ql[ys ji[qt bk[hk jk[of
羥基丙酮	ql[ys ji[qt bk[hk ts[yk
羥基膽甾醇	ql[ys ji[qt dj[oo zd[vt iy[yw
羥基丁二酸	ql[ys ji[qt dk[hu er[hh sr[ys
羥基丁內酯	ql[ys ji[qt dk[hu nw[kr vi[yb
羥基丁酸	ql[ys ji[qt dk[hu sr[ys
羥基丁酸鈉鹽	ql[ys ji[qt dk[hu sr[ys na[jk yj[tm
羥基丁酸乙酯	ql[ys ji[qt dk[hu sr[ys yi[vv vi[yb
羥基丁酮	ql[ys ji[qt dk[hu ts[yk
羥基丁酰苯胺	ql[ys ji[qt dk[hu xm[yn bf[ca an[og
羥基蒽醌	ql[ys ji[qt en[cw ky[yo
羥基二苯胺	ql[ys ji[qt er[hh bf[ca an[og
羥基二苯甲酮	ql[ys ji[qt er[hh bf[ca jx[ou ts[yk
羥基脯氨酸	ql[ys ji[qt fu[of an[qg sr[ys
羥基汞苯甲酸	ql[ys ji[qt gs[gu bf[ca jx[ou sr[ys
羥基硅油	ql[ys ji[qt gv[et yz[dy
羥基化合物	ql[ys ji[qt hx[rq he[rh wu[nb
羥基環戊烷	ql[ys ji[qt hr[wb wu[iv wj[hg
羥基甲基吡啶	ql[ys ji[qt jx[ou ji[qt bi[kb dk[kg
羥基甲基丁酸	ql[ys ji[qt jx[ou ji[qt dk[hu sr[ys
羥基甲基糠醛	ql[ys ji[qt jx[ou ji[qt kh[mg qr[yc
羥基喹啉	ql[ys ji[qt kv[kd lb[ka
羥基喹啉磺酸	ql[ys ji[qt kv[kd lb[ka hl[eg sr[ys
羥基喹啉酮	ql[ys ji[qt kv[kd lb[ka ts[yk
羥基喹啉銅	ql[ys ji[qt kv[kd lb[ka ts[jk
羥基喹啉銅鹽	ql[ys ji[qt kv[kd lb[ka ts[jk yj[tm
羥基喹啉鋅	ql[ys ji[qt kv[kd lb[ka xb[jl
羥基喹哪啶	ql[ys ji[qt kv[kd na[kv dk[kg
羥基聯苯	ql[ys ji[qt lm[eb bf[ca
羥基聯苯鈉鹽	ql[ys ji[qt lm[eb bf[ca na[jk yj[tm
羥基磷灰石	ql[ys ji[qt lb[em hv[uh ui[ek
羥基氯吡啶	ql[ys ji[qt lv[qx bi[kb dk[kg
羥基嘧啶	ql[ys ji[qt mi[kg dk[kg
羥基萘	ql[ys ji[qt nd[cd
羥基萘二酮	ql[ys ji[qt nd[cd er[hh ts[yk
羥基萘酚籃	ql[ys ji[qt nd[cd ff[yf lj[vu
羥基萘磺酸	ql[ys ji[qt nd[cd hl[eg sr[ys
羥基萘甲醛	ql[ys ji[qt nd[cd jx[ou qr[yc
羥基萘甲酸	ql[ys ji[qt nd[cd jx[ou sr[ys
羥基萘甲酰肼	ql[ys ji[qt nd[cd jx[ou xm[yn jk[oe
羥基萘醌	ql[ys ji[qt nd[cd ky[yo
羥基萘醛	ql[ys ji[qt nd[cd qr[yc
羥基萘酸	ql[ys ji[qt nd[cd sr[ys
羥基偶氮苯	ql[ys ji[qt ou[ro dj[qh bf[ca
羥基哌啶	ql[ys ji[qt pd[kp dk[kg
羥基氫	ql[ys ji[qt qk[qs
羥基氰化苄	ql[ys ji[qt qk[qf hx[rq bm[cd
羥基色氨酸	ql[ys ji[qt se[db an[qg sr[ys
羥基十二酸	ql[ys ji[qt ui[hu er[hh sr[ys
羥基十四酸	ql[ys ji[qt ui[hu si[we sr[ys
羥基水楊酸鉛	ql[ys ji[qt uv[uu yh[av sr[ys qm[jj
羥基酸	ql[ys ji[qt sr[ys
羥基託品酮	ql[ys ji[qt to[fp pb[kk ts[yk
羥基纖維素鈉	ql[ys ji[qt xm[sq ww[sv su[fy na[jk
羥基硝基吡啶	ql[ys ji[qt xn[ex ji[qt bi[kb dk[kg
羥基硝基喹啉	ql[ys ji[qt xn[ex ji[qt kv[kd lb[ka
羥基硝基聯苯	ql[ys ji[qt xn[ex ji[qt lm[eb bf[ca
羥基煙酸	ql[ys ji[qt yj[hw sr[ys
羥基乙醇	ql[ys ji[qt yi[vv iy[yw
羥基異丁酸	ql[ys ji[qt yi[kc dk[hu sr[ys
羥基異丁酰胺	ql[ys ji[qt yi[kc dk[hu xm[yn an[og
羥基乙二胺	ql[ys ji[qt yi[vv er[hh an[og
羥基乙基吲哚	ql[ys ji[qt yi[vv ji[qt yb[kg do[kj
羥基乙腈	ql[ys ji[qt yi[vv jk[of
羥基乙酸	ql[ys ji[qt yi[vv sr[ys
羥基乙酸鈉	ql[ys ji[qt yi[vv sr[ys na[jk
羥基乙酸乙酯	ql[ys ji[qt yi[vv sr[ys yi[vv vi[yb
羥基異酞酸	ql[ys ji[qt yi[kc td[yd sr[ys
羥基乙烷	ql[ys ji[qt yi[vv wj[hg
羥基乙酰胺	ql[ys ji[qt yi[vv xm[yn an[og
羥基吲哚	ql[ys ji[qt yb[kg do[kj
羥基茚酮	ql[ys ji[qt yb[cp ts[yk
羥基自由基	ql[ys ji[qt zi[pm yz[ou ji[qt
羥甲基胞嘧啶	ql[ys jx[ou ji[qt bc[ob mi[kg dk[kg
羥甲基苯硼酸	ql[ys jx[ou ji[qt bf[ca pg[eo sr[ys
羥甲基澱粉鈉	ql[ys jx[ou ji[qt dm[dg ff[mf na[jk
羥甲基冠醚	ql[ys jx[ou ji[qt gr[ge mi[ym
羥甲基磺酸鈉	ql[ys jx[ou ji[qt hl[eg sr[ys na[jk
羥甲基糠醛度	ql[ys jx[ou ji[qt kh[mg qr[yc du[gn
羥甲基脲	ql[ys jx[ou ji[qt nn[ou
羥甲基煙酰胺	ql[ys jx[ou ji[qt yj[hw xm[yn an[og
羥甲香豆素	ql[ys jx[ou xl[ho dz[hk su[fy
強鹼弱酸鹽	ql[gk jm[ew ro[gg sr[ys yj[tm
強鹼性	ql[gk jm[ew xk[xp
羥腈	ql[ys jk[of
強力碘	ql[gk li[vp dm[ed
強力碘伏	ql[gk li[vp dm[ed fu[rq
強力吸溼劑	ql[gk li[vp xi[kj ui[do ji[wd
羥醛縮合	ql[ys qr[yc so[sg he[rh
強酸弱鹼鹽	ql[gk sr[ys ro[gg jm[ew yj[tm
強酸性	ql[gk sr[ys xk[xp
強酸型離子交換劑	ql[gk sr[ys xk[kt li[wk zi[lh jn[li hr[fd ji[wd
強氧化劑	ql[gk yh[qy hx[rq ji[wd
羥乙基	ql[ys yi[vv ji[qt
羥乙基苯胺	ql[ys yi[vv ji[qt bf[ca an[og
羥乙基二胺	ql[ys yi[vv ji[qt er[hh an[og
羥乙基二苯酮	ql[ys yi[vv ji[qt er[hh bf[ca ts[yk
羥乙基磺酸鈉	ql[ys yi[vv ji[qt hl[eg sr[ys na[jk
羥乙基哌嗪	ql[ys yi[vv ji[qt pd[kp qb[ks
羥乙基腺嘌呤	ql[ys yi[vv ji[qt xm[ob pn[kx lk[kr
羥乙基纖維素	ql[ys yi[vv ji[qt xm[sq ww[sv su[fy
羥乙基乙二胺	ql[ys yi[vv ji[qt yi[vv er[hh an[og
羥乙基乙酰胺	ql[ys yi[vv ji[qt yi[vv xm[yn an[og
鞘氨醇	qn[gx an[qg iy[yw
橋環體系	qn[ap hr[wb ti[ra xi[py
橋連基	qn[ap lm[iz ji[qt
鞘磷脂	qn[gx lb[em vi[ob
橋頭取代	qn[ap tz[dd qu[ey dd[rq
切變結構	qp[qd bm[yy jp[su gz[ab
茄鹼度	qp[cl jm[ew du[gn
茄尼醇	qp[cl ni[ub iy[yw
切片石蠟	qp[qd pm[pu ui[ek la[ig
茄替膠	qp[cl ti[eo jn[ol
茄形燒瓶	qp[cl xk[kp uc[hq pk[bw
嗪草酮	qb[ks cc[co ts[yk
親電重排	qb[la dm[ov is[ph pd[ff
親電加成	qb[la dm[ov jx[lk ig[wv
親電取代	qb[la dm[ov qu[ey dd[rq
親電試劑	qb[la dm[ov ui[yq ji[wd
親核反應	qb[la he[aw fj[py yk[gx
親和硅烷	qb[la he[hk gv[et wj[hg
親核加成	qb[la he[aw jx[lk ig[wv
親和凝膠	qb[la he[hk nk[db jn[ol
親核取代	qb[la he[aw qu[ey dd[rq
親核試劑	qb[la he[aw ui[yq ji[wd
親合素	qb[la he[rh su[fy
親和素	qb[la he[hk su[fy
嗪藍	qb[ks lj[cu
氰胺	qk[qf an[og
氰胺化鈣	qk[qf an[og hx[rq gd[jx
氰氨化鈣	qk[qf an[qg hx[rq gd[jx
氰苯基環己酮	qk[qf bf[ca ji[qt hr[wb ji[kv ts[yk
氫醇	qk[qs iy[yw
慶大黴素瓊脂	qk[gd da[hr mw[yr su[fy qs[ww vi[ob
氫氮	qk[qs dj[qh
氫氮比	qk[qs dj[qh bi[bb
氫氮分析	qk[qs dj[qh ff[bd xi[aj
氫氮分析儀	qk[qs dj[qh ff[bd xi[aj yi[rd
氫氮機	qk[qs dj[qh ji[aj
氫氮壓縮機	qk[qs dj[qh ya[it so[sg ji[aj
氫碲酸	qk[qs di[el sr[ys
氫碘酸	qk[qs dm[ed sr[ys
氫疊氮酸	qk[qs dp[yq dj[qh sr[ys
氫二段	qk[qs er[hh dr[pj
氫氟酸	qk[qs fu[qf sr[ys
氫氟酸脲	qk[qs fu[qf sr[ys nn[ou
氫過氧化物	qk[qs go[cz yh[qy hx[rq wu[nb
氫化鋇	qk[qs hx[rq bw[jb
氰化鋇	qk[qf hx[rq bw[jb
氰化苯甲酰	qk[qf hx[rq bf[ca jx[ou xm[yn
氫化蓖麻油	qk[qs hx[rq bi[cp ma[ga yz[dy
氰化苄	qk[qf hx[rq bm[cd
氫化鈣	qk[qs hx[rq gd[jx
氰化鈣	qk[qf hx[rq gd[jx
氰化高汞	qk[qf hx[rq gc[wk gs[gu
氰化高銅	qk[qf hx[rq gc[wk ts[jk
氰化鎘	qk[qf hx[rq ge[jh
氰化汞	qk[qf hx[rq gs[gu
氰化汞鉀	qk[qf hx[rq gs[gu jx[jo
氰化鈷	qk[qf hx[rq gu[jg
氰化鈷鉀	qk[qf hx[rq gu[jg jx[jo
氫化鉀	qk[qs hx[rq jx[jo
氰化鉀	qk[qf hx[rq jx[jo
氰化鉀汞	qk[qf hx[rq jx[jo gs[gu
氰化鉀金	qk[qf hx[rq jx[jo jb[rw
氰化鉀鎳	qk[qf hx[rq jx[jo np[jz
氰化鉀培養基	qk[qf hx[rq jx[jo pw[tl yh[yp ji[qt
氰化金鉀	qk[qf hx[rq jb[rw jx[jo
氫化奎尼定	qk[qs hx[rq kv[dt ni[ub dk[gp
氫化奎寧	qk[qs hx[rq kv[dt nk[gd
氫化喹諾酮	qk[qs hx[rq kv[kd no[yc ts[yk
氫化鋰	qk[qs hx[rq li[jo
氫化硫	qk[qs hx[rq lq[ew
氰化氯	qk[qf hx[rq lv[qx
氫化鋁鋰	qk[qs hx[rq lv[jk li[jo
氫化鋁鈉	qk[qs hx[rq lv[jk na[jk
氰化鎂	qk[qf hx[rq mw[jb
氫化鈉	qk[qs hx[rq na[jk
氰化鈉	qk[qf hx[rq na[jk
氰化鎳	qk[qf hx[rq np[jz
氰化鎳鉀	qk[qf hx[rq np[jz jx[jo
氫化硼鋰	qk[qs hx[rq pg[eo li[jo
氰化鉛	qk[qf hx[rq qm[jj
氰化氫	qk[qf hx[rq qk[qs
氫化肉桂醛	qk[qs hx[rq rz[kr gv[at qr[yc
氫化乳清酸	qk[qs hx[rq ru[av qk[df sr[ys
氰化鈰	qk[qf hx[rq ui[jw
氫化碳	qk[qs hx[rq tj[eu
氫化銻	qk[qs hx[rq ti[jb
氰化銅	qk[qf hx[rq ts[jk
氰化銅鈉	qk[qf hx[rq ts[jk na[jk
氫化物	qk[qs hx[rq wu[nb
氰化物	qk[qf hx[rq wu[nb
氰化鋅	qk[qf hx[rq xb[jl
氫化辛可寧	qk[qs hx[rq xb[lu ke[dk nk[gd
氰化溴	qk[qf hx[rq xq[dz
氰化亞鈷	qk[qf hx[rq ya[hy gu[jg
氰化亞金鉀	qk[qf hx[rq ya[hy jb[rw jx[jo
氰化亞鎳	qk[qf hx[rq ya[hy np[jz
氰化亞銅	qk[qf hx[rq ya[hy ts[jk
氰化銀	qk[qf hx[rq yb[jg
氰化銀鉀	qk[qf hx[rq yb[jg jx[jo
輕灰	qk[is hv[uh
輕灰煅燒爐	qk[is hv[uh dr[hp uc[hq lu[hh
輕灰料倉	qk[is hv[uh ln[md ch[re
輕灰爐氣洗滌塔	qk[is hv[uh lu[hh qi[rh xi[dn di[dw ta[tc
輕灰螺旋輸送機	qk[is hv[uh lo[it xr[fr uu[ir ss[bz ji[aj
輕灰埋刮板輸送機	qk[is hv[uh md[to gx[qd bj[ap uu[ir ss[bz ji[aj
輕灰提升機	qk[is hv[uh ti[fo ug[pc ji[aj
氰基胺	qk[qf ji[qt an[og
氰基苯甲醛	qk[qf ji[qt bf[ca jx[ou qr[yc
氰基苯硼酸	qk[qf ji[qt bf[ca pg[eo sr[ys
氰基苯酞	qk[qf ji[qt bf[ca td[yd
氰基吡啶	qk[qf ji[qt bi[kb dk[kg
氰基吡嗪	qk[qf ji[qt bi[kb qb[ks
氰基丙酸乙酯	qk[qf ji[qt bk[hk sr[ys yi[vv vi[yb
氰基丙酮	qk[qf ji[qt bk[hk ts[yk
氰基丙烯酸甲酯	qk[qf ji[qt bk[hk xi[hi sr[ys jx[ou vi[yb
氰基氟苯硼酸	qk[qf ji[qt fu[qf bf[ca pg[eo sr[ys
氰基甲基吡啶	qk[qf ji[qt jx[ou ji[qt bi[kb dk[kg
氰基甲酸甲酯	qk[qf ji[qt jx[ou sr[ys jx[ou vi[yb
氰基甲酸乙酯	qk[qf ji[qt jx[ou sr[ys yi[vv vi[yb
氰基降冰片烯	qk[qf ji[qt jl[ew bk[du pm[pu xi[hi
氰基聯苯	qk[qf ji[qt lm[eb bf[ca
氰基硼氫化鈉	qk[qf ji[qt pg[eo qk[qs hx[rq na[jk
氰基硼氰化鈉	qk[qf ji[qt pg[eo qk[qf hx[rq na[jk
氰基乙酸	qk[qf ji[qt yi[vv sr[ys
氰基乙酸乙酯	qk[qf ji[qt yi[vv sr[ys yi[vv vi[yb
氰基乙酰胺	qk[qf ji[qt yi[vv xm[yn an[og
氰基吲哚	qk[qf ji[qt yb[kg do[kj
氰甲基化	qk[qf jx[ou ji[qt hx[rq
氰金酸鉀	qk[qf jb[rw sr[ys jx[jo
氰喹啉	qk[qf kv[kd lb[ka
氫昆	qk[qs ky[ob
青硫酚	qk[fo lq[ew ff[yf
氫硫化銨	qk[qs lq[ew hx[rq an[jg
氫硫酸	qk[qs lq[ew sr[ys
氫氯金酸	qk[qs lv[qx jb[rw sr[ys
氫氯酸	qk[qs lv[qx sr[ys
青黴素胺	qk[fo mw[yr su[fy an[og
青酶酸	qk[fo mw[yr sr[ys
